Comment,Center-X(mil),Center-Y(mil),Designator,Layer,Rotation
1N5819WS,"2,834,646","3,437,008",D4,TopLayer,270
1N5819WS,"2,834,646","3,437,008",D5,BottomLayer,270
SP3031-01ETG,"2,523,622","3,460,630",D6,BottomLayer,180
SM712,"2,507,874","3,374,016",D7,BottomLayer,180
SP3031-01ETG,"3,618,110","3,311,024",D8,BottomLayer,0
SM712,"3,649,606","3,397,638",D9,BottomLayer,0
ESD351DPYR,"3,070,866","2,838,583",D10,BottomLayer,0
SP3031-01ETG,"3,110,236","3,460,630",D11,BottomLayer,90
SP3031-01ETG,"2,893,701","3,334,646",D12,TopLayer,180
SP3031-01ETG,"2,893,701","3,421,260",D13,TopLayer,180
RGB LED,"3,070,866","3,161,417",D20,TopLayer,0
1N5819WS,"2,523,622","2,771,654",D21,BottomLayer,180
1N5819WS,"2,677,165","3,047,244",D22,BottomLayer,270
BLM15AX102SN1D,"3,322,835","3,870,079",FB1,BottomLayer,0
BLM21SP111SN1D,"3,503,937","3,456,693",FB2,BottomLayer,90
BLM15AX102SN1D,"3,188,976","3,051,181",FB3,TopLayer,270
BLM15AX102SN1D,"2,657,480","3,288,386",FB4,TopLayer,270
BLM15AX102SN1D,"3,130,905","3,125,984",FB5,BottomLayer,180
